brand,processor_brand,processor,processor_gnrtn,ram,ssd,hdd,os,os_bit,graphic_card_gb,warranty,msoffice,Price,rating,Number of Ratings,Number of Reviews
ASUS,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,34649,2 stars,3,0
Lenovo,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,38999,3 stars,65,5
Lenovo,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,39999,3 stars,8,1
ASUS,Intel,Core i5,10th,8 GB,512 GB,0 GB,Windows,32-bit,2 GB,No warranty,No,69990,3 stars,0,0
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,64-bit,0 GB,No warranty,No,26990,3 stars,0,0
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,64-bit,0 GB,No warranty,No,22990,3 stars,0,0
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,32-bit,0 GB,No warranty,No,21990,3 stars,31,3
ASUS,Intel,Core i5,10th,8 GB,0 GB,1024 GB,Windows,32-bit,2 GB,No warranty,No,58799,3 stars,0,0
Lenovo,Intel,Core i5,10th,4 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,49999,3 stars,0,0
acer,AMD,Ryzen 5,10th,4 GB,0 GB,512 GB,Windows,32-bit,4 GB,No warranty,No,59990,4 stars,1946,240
acer,AMD,Ryzen 5,10th,4 GB,0 GB,512 GB,Windows,32-bit,6 GB,No warranty,No,93700,4 stars,259,47
acer,AMD,Ryzen 5,10th,4 GB,0 GB,512 GB,Windows,32-bit,4 GB,No warranty,No,72990,4 stars,425,67
Avita,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,64-bit,0 GB,No warranty,No,17490,3 stars,1120,196
ASUS,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,35990,3 stars,0,0
HP,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,56490,3 stars,0,0
HP,Intel,Core i5,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,65390,3 stars,0,0
Lenovo,Intel,Celeron Dual,Not Available,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,31999,4 stars,286,19
HP,Intel,Celeron Dual,Not Available,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,32490,4 stars,58,6
Lenovo,Intel,Celeron Dual,Not Available,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,31799,3 stars,0,0
ASUS,Intel,Celeron Dual,Not Available,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,29890,4 stars,7,0
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,23990,3 stars,15279,1947
HP,Intel,Core i3,7th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,32955,4 stars,311,27
HP,Intel,Core i5,7th,4 GB,0 GB,1024 GB,Windows,32-bit,2 GB,No warranty,No,46200,4 stars,47,7
ASUS,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,34429,4 stars,37,6
Lenovo,Intel,Core i3,10th,8 GB,256 GB,0 GB,Windows,32-bit,0 GB,2 years,Yes,37990,4 stars,2080,235
ASUS,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,32-bit,0 GB,1 year,Yes,35990,4 stars,1479,181
ASUS,Intel,Core i3,10th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,33980,4 stars,67,3
HP,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,39990,4 stars,273,30
DELL,Intel,Core i3,10th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,39490,4 stars,1267,171
HP,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,53990,4 stars,14,0
acer,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,38990,3 stars,0,0
ASUS,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,37990,4 stars,284,39
ASUS,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,37890,4 stars,44,5
Lenovo,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,38990,4 stars,33,4
Lenovo,Intel,Core i3,10th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,37990,4 stars,286,36
DELL,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,41990,3 stars,10,5
ASUS,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,45990,4 stars,816,147
Lenovo,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,39990,4 stars,543,65
DELL,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,42490,4 stars,9,1
DELL,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,36990,4 stars,1178,137
Lenovo,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,53990,4 stars,299,41
ASUS,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,36990,4 stars,20,1
Lenovo,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,2 years,No,38940,4 stars,758,64
DELL,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,39490,4 stars,634,64
Lenovo,Intel,Core i3,10th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,2 years,Yes,39999,5 stars,4,0
DELL,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,42990,4 stars,17,2
DELL,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,49990,4 stars,24,5
DELL,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,41490,4 stars,1753,165
DELL,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,41990,4 stars,216,21
Lenovo,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,41990,4 stars,1084,160
ASUS,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,38490,3 stars,19,3
Lenovo,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,38990,4 stars,106,13
Lenovo,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,44990,4 stars,42,4
Lenovo,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,36490,3 stars,0,0
Lenovo,Intel,Core i3,10th,8 GB,256 GB,0 GB,Windows,32-bit,0 GB,No warranty,No,38970,3 stars,0,0
HP,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,44900,4 stars,1029,107
MSI,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,38990,4 stars,53,11
DELL,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,44427,3 stars,0,0
ASUS,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,35990,3 stars,0,0
Lenovo,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,40200,3 stars,48,1
Lenovo,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,32-bit,0 GB,No warranty,No,40990,3 stars,3,0
DELL,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,42490,3 stars,0,0
acer,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,32-bit,0 GB,No warranty,No,23990,3 stars,61,4
DELL,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,71999,4 stars,97,13
ASUS,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,39990,4 stars,181,19
Lenovo,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,41998,4 stars,529,39
ASUS,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,32-bit,0 GB,No warranty,No,41990,3 stars,0,0
Lenovo,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,2 years,Yes,39999,3 stars,0,0
ASUS,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,32-bit,0 GB,No warranty,No,39990,3 stars,0,0
Lenovo,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,39998,4 stars,10,1
HP,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,42490,4 stars,5205,561
Lenovo,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,32-bit,0 GB,No warranty,No,41990,3 stars,3,0
ASUS,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,32-bit,0 GB,No warranty,No,48490,3 stars,0,0
HP,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,44376,4 stars,1090,96
DELL,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,32-bit,0 GB,No warranty,No,43900,3 stars,0,0
DELL,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,46690,3 stars,0,0
Lenovo,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,32-bit,0 GB,No warranty,No,40990,5 stars,1,1
DELL,Intel,Core i3,10th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,39990,4 stars,44,2
Lenovo,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,43990,3 stars,0,0
ASUS,Intel,Core i3,11th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,36990,4 stars,70,9
DELL,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,No,48500,3 stars,0,0
ASUS,Intel,Core i3,11th,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,48990,3 stars,0,0
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,32-bit,0 GB,No warranty,No,23490,4 stars,632,92
HP,Intel,Core i3,8th,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,54238,4 stars,71,8
ASUS,Intel,Core i3,10th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,37990,4 stars,990,108
HP,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,42990,4 stars,158,18
HP,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,42990,4 stars,681,59
ASUS,Intel,Core i3,10th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,35990,4 stars,130,12
ASUS,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,42990,4 stars,30,4
ASUS,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,32-bit,0 GB,1 year,Yes,51990,4 stars,6,2
ASUS,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,48990,4 stars,174,30
ASUS,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,42990,4 stars,40,7
Lenovo,Intel,Core i3,10th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,38990,3 stars,13,1
DELL,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,45990,4 stars,184,29
HP,Intel,Core i3,10th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,42490,4 stars,1296,126
HP,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,43970,4 stars,571,56
ASUS,Intel,Core i3,10th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,39990,4 stars,2551,297
MSI,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,48990,4 stars,17,3
HP,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,54990,4 stars,35,3
MSI,Intel,Core i3,10th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,40990,4 stars,118,17
ASUS,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,41990,3 stars,0,0
Lenovo,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,54990,4 stars,245,34
ASUS,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,44990,4 stars,2058,305
HP,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,41250,4 stars,117,11
HP,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,44990,3 stars,0,0
ASUS,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,42990,4 stars,74,11
DELL,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,60790,4 stars,10,1
HP,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,45650,4 stars,39,4
DELL,Intel,Core i3,10th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,41990,3 stars,29,7
DELL,Intel,Core i3,10th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,45490,4 stars,43,4
ASUS,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,44990,3 stars,0,0
Lenovo,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,2 years,Yes,42990,4 stars,984,99
HP,Intel,Core i3,11th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,45490,4 stars,523,66
HP,Intel,Core i3,10th,4 GB,512 GB,0 GB,Windows,32-bit,0 GB,No warranty,No,38799,4 stars,30,1
HP,Intel,Core i3,11th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,69267,3 stars,0,0
ASUS,Intel,Core i3,11th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,51649,3 stars,0,0
HP,Intel,Core i3,11th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,47990,4 stars,1605,215
ASUS,Intel,Core i3,10th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,40990,4 stars,4008,519
ASUS,Intel,Core i3,10th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,42990,4 stars,1869,234
ASUS,Intel,Core i3,11th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,44890,3 stars,7,0
ASUS,Intel,Core i3,10th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,41490,4 stars,4008,519
HP,Intel,Core i3,11th,4 GB,512 GB,0 GB,Windows,32-bit,0 GB,1 year,No,50990,3 stars,0,0
HP,Intel,Core i3,11th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,48900,4 stars,1278,135
DELL,Intel,Core i3,10th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,41790,3 stars,0,0
Lenovo,Intel,Core i3,11th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,57999,3 stars,10,2
DELL,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,45930,3 stars,0,0
HP,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,55490,4 stars,143,15
ASUS,Intel,Core i3,10th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,32890,3 stars,28,4
Lenovo,Intel,Core i3,10th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,35990,4 stars,2124,233
DELL,Intel,Core i3,11th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,42490,4 stars,276,40
DELL,Intel,Core i3,11th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,42190,3 stars,250,21
DELL,Intel,Core i3,10th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,39490,4 stars,1917,189
HP,Intel,Core i3,11th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,43690,4 stars,4999,490
ASUS,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,35990,3 stars,17,0
DELL,Intel,Core i3,11th,8 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,43800,4 stars,17,0
Lenovo,Intel,Core i3,10th,8 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,38990,3 stars,0,0
ASUS,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,34990,3 stars,4203,490
ASUS,Intel,Core i3,11th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,38900,3 stars,13,0
DELL,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,39990,3 stars,15,1
DELL,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,40890,4 stars,527,46
Lenovo,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,36990,3 stars,103,10
HP,Intel,Core i3,11th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,39990,3 stars,324,45
HP,Intel,Core i3,11th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,41990,4 stars,69,5
DELL,Intel,Core i3,11th,4 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,43970,3 stars,16,0
HP,Intel,Core i3,11th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,39790,3 stars,40,3
ASUS,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,35590,3 stars,12,1
HP,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,36490,3 stars,1146,175
ASUS,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,38990,4 stars,1850,216
ASUS,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,33990,3 stars,43,7
DELL,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,43400,4 stars,231,26
ASUS,Intel,Celeron Dual,Not Available,4 GB,0 GB,512 GB,Windows,32-bit,0 GB,No warranty,No,24990,4 stars,502,93
HP,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,40750,4 stars,1096,116
DELL,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,43000,4 stars,313,35
ASUS,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,38000,4 stars,7,0
DELL,Intel,Core i3,11th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,37990,3 stars,265,46
HP,Intel,Core i3,7th,8 GB,0 GB,1024 GB,Windows,64-bit,2 GB,No warranty,No,49279,4 stars,38,3
Lenovo,Intel,Core i3,10th,8 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,38999,3 stars,7,2
ASUS,Intel,Core i3,11th,8 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,41500,3 stars,4,0
acer,Intel,Core i3,11th,4 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,36999,3 stars,0,0
DELL,Intel,Core i3,11th,8 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,42900,3 stars,0,0
